Modelo;Motorización;Categoría;Nº de Plazas;MTMA;Potencia eléctrica (kW);Consumo eléctrico (kWh/100km);Capacidad de la batería (kWh);Autonomía eléctrica (km)
Audi Q4 Sportback e-tron 50 quattro 220 KW (299 CV) Advanced/ S line/Black line MY24;Eléctricos puros;M1;5;2475;220;17.1;76.6;519
Audi Q4 Sportback e-tron 55 quattro 250 KW (335CV) Advanced MY24;Eléctricos puros;M1;5;2750;250;16.6;77;527
Audi Q4 Sportback e-tron 55 quattro 250 KW (335CV) Black line MY24;Eléctricos puros;M1;5;2750;250;17;77;518
Audi Q4 Sportback e-tron 55 quattro 250 KW (335CV) S line MY24;Eléctricos puros;M1;5;2750;250;16.9;77;521
Audi Q5 50 TFSI e quattro 220 kW (299 CV) S tronic MY 20;Híbridos enchufables;M1;5;2620;105;189;0;44
Audi Q5 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel Advanced MY23;Híbridos enchufables;M1;5;2660;100;22;17.9;62
Audi Q5 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel Advanced MY24;Híbridos enchufables;M1;5;2660;100;22;17.9;62
Audi Q5 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel S line/Black line MY23;Híbridos enchufables;M1;5;2660;100;22.7;17.9;59
Audi Q5 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel S line/Black line MY24;Híbridos enchufables;M1;5;2660;100;22.7;17.9;59
Audi Q5 55 TFSI e quattro 270 kW (367 CV) S tronic MY 20;Híbridos enchufables;M1;5;2620;105;194;0;43
Audi Q5 55 TFSIe quattro-ultra 270 kW (367 CV)* S tronic 7 vel. S line/Black line MY23;Híbridos enchufables;M1;5;2660;100;22.7;17.9;59
Audi Q5 55 TFSIe quattro-ultra 270 kW (367 CV)* S tronic 7 vel. S line/Black line MY24;Híbridos enchufables;M1;5;2660;100;22.7;17.9;59
Audi Q5 Sportback 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel. Advanced MY23;Híbridos enchufables;M1;5;2660;100;22.1;17.9;61
Audi Q5 Sportback 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel. Advanced MY24;Híbridos enchufables;M1;5;2660;100;22.1;17.9;61
Audi Q5 Sportback 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel. S line/Black line MY23;Híbridos enchufables;M1;5;2660;100;23;17.9;58
Audi Q5 Sportback 50 TFSIe quattro-ultra 220 kW (299 CV) S tronic 7 vel. S line/Black line MY24;Híbridos enchufables;M1;5;2660;100;23;17.9;58
Audi Q5 Sportback 55 TFSIe quattro-ultra 270 kW (367 CV) S tronic 7 vel. S line/Black line MY23;Híbridos enchufables;M1;5;2660;100;23;17.9;58
Audi Q5 Sportback 55 TFSIe quattro-ultra 270 kW (367 CV) S tronic 7 vel. S line/Black line MY24;Híbridos enchufables;M1;5;2660;100;23;17.9;58
Audi Q7 55 TFSI e quattro 280 kW (381 CV) tiptronic 8 vel. MY21;Híbridos enchufables;M1;5;3025;100;236;17.3;47
Audi Q7 55 TFSI e quattro 280 kW (381 CV) tiptronic 8 vel. S line/Black line MY21;Híbridos enchufables;M1;5;3035;100;239;17.3;46
Audi Q7 55 TFSIe quattro 280 kW (381 CV)* tiptronic 8 vel. Básico MY22;Híbridos enchufables;M1;5;3025;100;23.5;14.3;47
Audi Q7 55 TFSIe quattro 280 kW (381 CV)* tiptronic 8 vel. Básico MY23;Híbridos enchufables;M1;5;3025;105;23.6;17.9;54
Audi Q7 55 TFSIe quattro 280 kW (381 CV)* tiptronic 8 vel. S line+ plus/Black line + Plus MY23;Híbridos enchufables;M1;5;3035;105;23.6;17.9;54
Audi Q7 55 TFSIe quattro 280 kW (381 CV)* tiptronic 8 vel. Sline+plus/Blackline+Plus MY22;Híbridos enchufables;M1;5;3035;100;23.6;14.3;47
Audi Q7 60 TFSI e quattro 335 kW (456 CV) tiptronic 8 vel. Competition MY21;Híbridos enchufables;M1;5;3145;94;244;17.3;42
Audi Q7 60 TFSI e quattro 335 kW (456 CV) tiptronic MY 20;Híbridos enchufables;M1;5;3145;94;243;0;42
Audi Q7 60 TFSI e quattro 340 kW (462 CV) tiptronic 8 vel. S line MY21;Híbridos enchufables;M1;5;3035;100;239;17.3;46
Audi Q7 60 TFSIe quattro 340 kW (462 CV) Tiptonic 8 vel. S line + Plus/ Black line Plus MY23;Híbridos enchufables;M1;7;3035;105;23.4;17.9;55
Audi Q8 55 TFSIe quattro 280 kW (381 CV) tiptronic 8 vel. Básico+ S line plus/Black line Plus MY23;Híbridos enchufables;M1;5;3045;105;24;17.9;52
Audi Q8 55 TFSIe quattro 280 kW (381 CV)* tiptronic 8 vel. Básico/Sline+Plus/Blackline+Plus MY22;Híbridos enchufables;M1;5;3055;100;24;14.4;45
Audi Q8 60 TFSIe quattro 340 kW (462 CV) tiptronic 8 vel. S line Plus/Black line Plus MY23;Híbridos enchufables;M1;5;3055;105;24;17.9;52
Audi Q8 60 TFSIe quattro 340 kW (462 CV)* tiptronic 8 vel. Sline+Plus/BlacklinePlus MY22;Híbridos enchufables;M1;5;3055;100;24.5;14.4;45
Audi Q8 e-tron 50 quattro 250 kW Advanced/ S line MY23;Eléctricos puros;M1;5;3170;250;20.5;89;483
Audi Q8 e-tron 50 quattro 250 kW Advanced/ S line MY24;Eléctricos puros;M1;5;3170;250;20.5;89;487
Audi Q8 e-tron 55 quattro 300 kW Advanced/ S line MY23;Eléctricos puros;M1;5;3180;300;21;106;571
Audi Q8 e-tron 55 quattro 300 kW Advanced/ S line MY24;Eléctricos puros;M1;5;3180;300;21;106;576
Audi Q8 e-tron Sportback 50 quattro 250 kW Advanced/ S line MY23;Eléctricos puros;M1;5;3180;250;19.9;89;497
Audi Q8 e-tron Sportback 50 quattro 250 kW Advanced/ S line MY24;Eléctricos puros;M1;5;3180;250;19.9;89;497
Audi Q8 e-tron Sportback 55 quattro 300 kW Advanced/ S line MY23;Eléctricos puros;M1;5;3180;300;20.3;106;591
Audi Q8 e-tron Sportback 55 quattro 300 kW Advanced/ S line MY24;Eléctricos puros;M1;5;3180;300;20.3;106;591
Audi RS e-tron GT RS e-tron GT 440 kW (598 CV) RS MY23;Eléctricos puros;M1;4;2860;440;20.3;86;486
Audi RS e-tron GT RS e-tron GT 440 kW (598 CV) RS MY24;Eléctricos puros;M1;4;2860;440;20.3;86;495
Audi RS e-tron GT RS e-tron GT 440 KW RS e-tron GT MY22;Eléctricos puros;M1;5;2860;440;20.79;85;468
BLUESHARK R1 Lite HS;Eléctricos puros;L3e;2;280;5;3.6;1.44;80
BLUESHARK R1 PRO HS;Eléctricos puros;L3e;2;280;5;3.6;1.44;80
BMW 225 e xDrive Active Tourer 21EA;Híbridos enchufables;M1;5;1825;80;17;14.2;92
BMW 230 e xDrive Active Tourer 51BX;Híbridos enchufables;M1;5;1845;130;16.9;14.2;93
BMW 320e 18FS;Híbridos enchufables;M1;5;2290;80;15.8;11.2;62
BMW 320e xDrive 51FY;Híbridos enchufables;M1;5;1880;80;16.7;11.2;59
BMW 330 e 28FS;Híbridos enchufables;M1;5;1770;80;20.3;11.2;62
BMW 330e xDrive Touring 71CY;Híbridos enchufables;M1;5;1880;80;21.5;11.2;58
BMW 530e 71FJ;Híbridos enchufables;M1;5;2655;135;21;19.4;101
BMW 550e xDrive 11FK;Híbridos enchufables;M1;5;2805;145;22.9;19;89
BMW 750e xDrive 41EH;Híbridos enchufables;M1;5;2380;145;22.8;18.7;87
BMW i i3 8P21;Eléctricos puros;M1;4;1710;125;13.1;42.2;330
BMW i i3 BEV i3 Grupo 1 Automatico (I01) (7Z21);Eléctricos puros;M1;4;1670;125;13.1;33.2;300
BMW i i3 BEV i3 Grupo 2 Automatico (I01) (7Z21);Eléctricos puros;M1;4;1670;125;13.6;33.2;290
BMW i i3 REEV i3 Grupo 1 Automatico (I01) (CO2 13) (7Z41);Eléctricos puros;M1;4;1760;125;11.5;33.2;235
BMW i i3 REEV i3 Grupo 2 Automatico (I01) (CO2 14) (7Z41);Eléctricos puros;M1;4;1760;125;11.9;33.2;225
BMW i i3S 8P61;Eléctricos puros;M1;4;1730;125;14;42.2;330
BMW i i3s BEV i3s Automatico (I01) (7Z61);Eléctricos puros;M1;4;1700;135;14.3;33.2;280
BMW i i3s REEV i3s Automatico (I01) (CO2 15) (7Z81);Eléctricos puros;M1;4;1780;135;12.5;33.2;220
BMW i i4 edrive40;Eléctricos puros;M1;5;2050;250;16.1;83.6;590
BMW i i4 i4 edrive40;Eléctricos puros;M1;5;2050;250;16.1;83.6;590
BMW i i4 M50;Eléctricos puros;M1;5;2215;400;18;83.6;520
BMW i3 BMW i3 (120 Ah) 11/2019;Eléctricos puros;M1;4;1710;125;13.1;120;308
BMW i3s BMW i3s (120 Ah) 11/2019;Eléctricos puros;M1;4;1730;125;14;120;284
BMW i4 eDrive 35 41AW;Eléctricos puros;M1;5;1990;210;15.8;67;483
BMW i4 eDrive40 71AW;Eléctricos puros;M1;4;1710;250;16.1;80.7;590
BMW i4 M50 31AW;Eléctricos puros;M1;4;1730;400;18;80.7;520
BMW i5 eDrive40 31FK;Eléctricos puros;M1;5;2130;250;15.9;81.2;582
BMW i5 M60 xDrive 41FK;Eléctricos puros;M1;5;2305;250;18.2;81.2;516
BMW i7 M70 xDrive 81EH;Eléctricos puros;M1;5;2695;360;20.8;101.7;560
BMW i7 xDrive60 51EJ;Eléctricos puros;M1;5;2640;400;18.4;101.7;625
BMW i8 i8 11/2019;Híbridos enchufables;M1;4;1920;105;14;33;53
BMW i8 i8 Roadster 11/2019;Híbridos enchufables;M1;2;1900;105;14.5;33;52
BMW iX M60 31CF;Eléctricos puros;M1;5;2595;455;21.7;107.5;568
BMW iX xDrive40;Eléctricos puros;M1;5;2365;240;19.3;76.6;426
BMW iX xDrive40 11CF;Eléctricos puros;M1;5;2365;240;19.4;73;436
BMW iX xDrive50;Eléctricos puros;M1;5;2510;385;19.8;111.5;631
BMW iX xDrive50 21CF;Eléctricos puros;M1;5;2510;386;19.5;107.5;633
BMW iX1 eDrive20 71EG;Eléctricos puros;M1;5;2435;150;15.4;64.8;474
BMW iX1 xDrive30 61EF;Eléctricos puros;M1;5;2010;230;16.8;64.7;440
BMW iX2 xDrive30 71GM;Eléctricos puros;M1;5;2605;230;16.3;64.8;449
BMW iX3 41DU;Eléctricos puros;M1;5;1240;210;18.5;74.3;462
BMW iX3 iX3 (7X41) Auto.03/2021;Eléctricos puros;M1;5;2260;210;18.6;80;460
BMW iX3 M Sport 41DU;Eléctricos puros;M1;5;2255;210;18.5;74.3;462
BMW M760e xDrive 51EH;Híbridos enchufables;M1;5;2450;145;23.7;18.7;85
BMW Motorrad CE 04 (11 kW) B;Eléctricos puros;L3e;2;410;11;7.7;6.2;100
BMW Motorrad CE 04 (15 kW) A;Eléctricos puros;L3e;2;410;15;7.7;8.9;130
BMW Serie 2 225xe (6Y31)Auto.01/2021;Híbridos enchufables;M1;5;2180;70;0;60;52
BMW Serie 2 225xe Active Tourer Auto.07/2020;Híbridos enchufables;M1;5;2180;65;13.5;60;53
BMW Serie 2 225xe Auto.11/2019;Híbridos enchufables;M1;5;2180;65;13.5;34;53
BMW Serie 3 320e Berlina (5Y91) Auto. 03/2021;Híbridos enchufables;M1;5;1840;83;20.5;12;64
BMW Serie 3 330e Berlina (5P51) Auto.07/2020;Híbridos enchufables;M1;5;2300;83;13.9;70;57
BMW Serie 3 330e Berlina (5P51)Auto.01/2021;Híbridos enchufables;M1;5;2300;83;0;70;57
BMW Serie 3 330e Berlina Auto.11/2019;Híbridos enchufables;M1;5;2300;83;14.8;34;59
BMW Serie 3 330e xDrive (6N71)Auto.01/2021;Híbridos enchufables;M1;5;2425;83;0;70;52
BMW Serie 3 330e xDrive Touring (6N71) Auto.07/2020;Híbridos enchufables;M1;5;2425;83;14.7;70;52
BMW Serie 5 520e Berlina (31BK) Auto.03/2021;Híbridos enchufables;M1;5;1910;80;20.6;12;63
BMW Serie 5 520e Touring (71CG) Auto. 03/2021;Híbridos enchufables;M1;5;1975;80;22;12;59
BMW Serie 5 530e Berlina (11AG)Auto.01/2021;Híbridos enchufables;M1;5;2505;80;0;90;57
BMW Serie 5 530e iPerformance Berlina (JA91) Auto.03/2019;Híbridos enchufables;M1;5;2420;83;13.3;90;48
BMW Serie 5 530e Touring (11CG)Auto.01/2021;Híbridos enchufables;M1;5;2550;80;0;90;51
BMW Serie 5 530e xDrive Berlina (11CH)Auto.01/2021;Híbridos enchufables;M1;5;2560;80;0;90;51
BMW Serie 5 530e xDriveT (31CG)Auto.01/2021;Híbridos enchufables;M1;5;2610;80;0;90;47
BMW Serie 5 545e xDrive (31CH)Auto.01/2021;Híbridos enchufables;M1;5;2605;80;0;90;50
BMW Serie 7 745e iPerformance Berlina (7D61)Auto.01/2021;Híbridos enchufables;M1;5;2635;83;0;90;50
BMW Serie 7 745Le xDrive iPerformance Berlina (7W41)Auto.01/2021;Híbridos enchufables;M1;4;2705;83;0;90;45
BMW X1 X1 xDrive25e (71AB)Auto.01/2021;Híbridos enchufables;M1;5;2330;70;0;60;49
BMW X1 xDrive 25e 21EF;Híbridos enchufables;M1;5;1855;80;17.1;14.2;92
BMW X1 xDrive 30e 31EF;Híbridos enchufables;M1;5;1860;130;18;14.2;88
BMW X2 X2 xDrive25e (YN91)Auto.01/2021;Híbridos enchufables;M1;5;2300;70;0;70;50
BMW X2 xDrive 25e YN91;Híbridos enchufables;M1;5;1730;70;19.6;8.8;54
BMW X3 X3 xDrive30e (61DP) Auto. 08/2021;Híbridos enchufables;M1;5;2065;80;25.7;12;50
BMW X3 X3 xDrive30e (TS11)Auto.01/2021;Híbridos enchufables;M1;5;2620;80;0;70;44
BMW X5 X5 xDrive45e (TA61)Auto.01/2021;Híbridos enchufables;M1;5;3150;83;0;80;81
BMW X5 xDrive40e iPerformance (KT01) Auto. 07/2017;Híbridos enchufables;M1;5;2980;83;15.4;9.2;31
BMW X5 xDrive50e xLine 41EU;Híbridos enchufables;M1;5;2420;145;22.9;25.7;110
BMW XM Label Red 31CS;Híbridos enchufables;M1;5;2720;145;35.9;25.7;83
BYD BYD ATTO 3 SC2E/M2F1C/1NXE5E001NL1;Eléctricos puros;M1;5;2160;150;15.6;60.48;420
BYD BYD DOLPHIN EM2E-1/H2F1C/2NTE5F002NL1;Eléctricos puros;M1;5;2068;150;15.9;60.4;427
BYD HAN AWD SE2D1C/1NXE5E001NL1;Eléctricos puros;M1;5;2660;380;18.5;85.4;521
BYD SEAL AWD SE2D1C/1NXE5E001NL1;Eléctricos puros;M1;5;2631;0;18.2;82.5;520
BYD SEAL SE2R1C/2NTE5F002NL1;Eléctricos puros;M1;5;2501;230;16.6;82.5;570
BYD TANG M2D1C/1NXE7E001NL1;Eléctricos puros;M1;7;3060;0;23.8;86.4;400
CAJERO K5 ;Eléctricos puros;L6e;2;484;3;93;3;52
CAKE Kalk& Kalk INK&;Eléctricos puros;L3e;1;260;6;8.5;2.6;86
CAKE Ösa + ;Eléctricos puros;L3e;2;180;5.8;3.4;3.5;111
CANOMOBILITY JS2A 4000E;Eléctricos puros;L3e;2;253;4;3.5;4;100
CENNTRO AUTOMOTIVE METRO A;Eléctricos puros;L7e;2;1521;16;15.7;25.92;176
CENNTRO Avantier 00;Eléctricos puros;L7e;2;1074;14;14.2;13.9;182
CENNTRO LOGISTAR 100 CBE21115B22AEB;Eléctricos puros;N1;2;1520;25;15.2;15.9;118
CENNTRO LOGISTAR 100 CBE21115B22AEC;Eléctricos puros;N1;2;1520;25;16.4;15.9;110
CENNTRO Logistar 200 - CAE211 - CarBox 26A21AEA;Eléctricos puros;N1;2;2600;60;23.2;41.86;264
CENNTRO Logistar 200 - CAE211 26A21AEA;Eléctricos puros;N1;2;2600;60;23.2;41.86;264
CENNTRO Logistar 200V - CBE211 25A21AEA;Eléctricos puros;N1;2;2550;60;23.2;41.86;264
CENNTRO LOGISTAR 260 1 1;Eléctricos puros;N1;2;3060;80;23.6;44;163
CENNTRO M5021EV 12;Eléctricos puros;N1;2;1800;12;15.9;24.2;143
CENNTRO Metro 20Kw Serie especial Chasis;Eléctricos puros;N1;2;1800;12;16.5;20;215
CENNTRO Metro 20Kw Serie especial Pick up;Eléctricos puros;N1;2;1800;12;16.5;20;215
CENNTRO Metro 20Kw Serie especial Van;Eléctricos puros;N1;2;1800;12;16.5;20;215
CENNTRO Metro 26 Kw Chasis;Eléctricos puros;N1;2;1800;12;16.5;26;270
CENNTRO Metro 26 Kw Pick up;Eléctricos puros;N1;2;1800;12;16.5;26;270
CENNTRO Metro 26 Kw Van;Eléctricos puros;N1;2;1800;12;16.5;26;270
CENNTRO NEXTEM A;Eléctricos puros;L7e;2;1419;10;12.8;12.95;105
CENNTRO NEXTEM D;Eléctricos puros;L7e;2;1419;10;12.8;12.95;105
CENNTRO NEXTEM E;Eléctricos puros;L7e;2;1419;10;12.8;12.95;105
Citroën AMI Buggy;Eléctricos puros;L6e;2;700;6;8;5.4;75
Citroën AMI Cargo Eléctrico;Eléctricos puros;L6e;1;700;6;8;5.4;75
Citroën AMI Eléctrico;Eléctricos puros;L6e;2;700;6;8;5.4;75
Citroën C-Zero Eléctrico;Eléctricos puros;M1;4;1450;49;12.6;14.5;150
Citroën C5 Aircross Plug-In Hybrid 180 ë-EAT8;Híbridos enchufables;M1;5;2300;81.2;0;12.4;55
Citroën C5 X Plug-In Hybrid 180 ë-EAT8;Híbridos enchufables;M1;5;2185;81.2;18.3;12.44;64
Citroën C5 X Plug-in Hybrid 180 Plus;Híbridos enchufables;M1;5;2185;81.2;173.8;12.44;64
Citroën C5 X Plug-in Hybrid 180 You;Híbridos enchufables;M1;5;2185;81.2;173.8;12.44;64
Citroën C5 X Plug-in Hybrid 225 Hypnos;Híbridos enchufables;M1;5;2185;81.2;169.4;13.2;64
Citroën C5 X Plug-in Hybrid 225 Max;Híbridos enchufables;M1;5;2185;81.2;169.4;13.2;64
Citroën C5 X Plug-In Hybrid ë225 EAT8;Híbridos enchufables;M1;5;2185;81.2;0;13.2;55
Citroën ë-Berlingo 50 kWh Talla M;Eléctricos puros;M1;5;2290;100;22.7;50;245
Citroën ë-Berlingo 50 kWh Talla XL;Eléctricos puros;M1;5;2320;100;22.7;50;245
Citroën ë-Berlingo Van Batería 50 KWh Talla M;Eléctricos puros;N1;2;2390;100;22.7;50;245
Citroën ë-Berlingo Van Batería 50 KWh Talla XL;Eléctricos puros;N1;3;2385;100;22.7;50;245
Citroën ë-C4 115 KW;Eléctricos puros;M1;5;2020;115;14.9;54;420
Citroën ë-C4 eléctrico 100 KW - 50KWh E SERIES;Eléctricos puros;M1;5;2000;100;16.6;50;357
Citroën ë-C4 eléctrico 100 KW - 50KWh YOU;Eléctricos puros;M1;5;2000;100;16.6;50;357
Citroën ë-C4 Eléctrico 100 KW C-SERIES;Eléctricos puros;M1;5;2000;100;16.6;50;338
Citroën ë-C4 eléctrico 100KW- 50KWh MAX;Eléctricos puros;M1;5;2000;100;16.6;50;357
Citroën ë-C4 eléctrico 100KW- 50KWh PLUS;Eléctricos puros;M1;5;2000;100;16.6;50;357
Citroën ë-C4 eléctrico 115 KW - 54KWh E SERIES;Eléctricos puros;M1;5;2020;115;14.9;54;420
Citroën ë-C4 eléctrico 115 KW - 54KWh MAX;Eléctricos puros;M1;5;2020;115;14.9;54;420
Citroën ë-C4 eléctrico 115 KW - 54KWh PLUS;Eléctricos puros;M1;5;2020;115;14.9;54;420
Citroën ë-C4 eléctrico 115 KW - 54KWh YOU;Eléctricos puros;M1;5;2020;115;14.9;54;420
Citroën ë-C4X 115 KW;Eléctricos puros;M1;5;2040;115;14.8;54;420
Citroën ë-C4X ELÉCTRICO 100 KW;Eléctricos puros;M1;8;2040;100;15.4;50;357
Citroën ë-C4X ELÉCTRICO 100 KW - 50KWh Ë Series;Eléctricos puros;M1;5;2040;100;15.4;50;357
Citroën ë-C4X ELÉCTRICO 100 KW - 50KWh Plus;Eléctricos puros;M1;5;2040;100;15.4;50;357
Citroën ë-C4X ELÉCTRICO 100 KW - 50KWh You;Eléctricos puros;M1;5;2040;100;15.4;50;357
Citroën ë-C4X ELÉCTRICO 115 KW - 54KWh Ë Series;Eléctricos puros;M1;5;2040;115;14.8;54;420
Citroën ë-C4X ELÉCTRICO 115 KW - 54KWh Max;Eléctricos puros;M1;5;2040;115;14.8;54;420
Citroën ë-C4X ELÉCTRICO 115 KW - 54KWh Plus;Eléctricos puros;M1;5;2040;115;14.8;54;420
Citroën ë-C4X ELÉCTRICO 115 KW - 54KWh You;Eléctricos puros;M1;5;2040;115;14.8;54;420
Citroën ë-Jumper Batería 37 kWh 35 L2 H2;Eléctricos puros;N1;3;3500;90;36.2;37;116
Citroën ë-Jumper Batería 70 kWh 35 L3 H2;Eléctricos puros;N1;3;3500;90;36.6;70;213
Citroën ë-Jumpy Combi Talla  M  Eléctrico 100 KW 50 KWh;Eléctricos puros;M1;3;3015;100;28.16;50;196
Citroën ë-Jumpy Combi Talla  M  Eléctrico 100 KW 75 KWh;Eléctricos puros;M1;3;3100;100;29.49;75;285
Citroën ë-Jumpy Combi Talla  XL Eléctrico 100 KW 75 KWh;Eléctricos puros;M1;3;3100;100;29.49;75;285
Citroën ë-Jumpy Talla M Eléctrico 100 kW 50 kWh;Eléctricos puros;N1;3;2865;100;28.16;50;196
Citroën ë-Jumpy Talla M Eléctrico 100 kW 75 kWh;Eléctricos puros;N1;3;3015;100;29.49;75;285
Citroën ë-Jumpy Talla XL Eléctrico 100 kW 75 kWh;Eléctricos puros;N1;3;3015;100;29.49;75;285
Citroën ë-Jumpy Talla XS Eléctrico 100 kW 50 kWh;Eléctricos puros;N1;3;2865;100;28.16;50;196
Citroën ë-SpaceTourer Business Talla M  Eléctrico 100 kW 75 kWh;Eléctricos puros;M1;9;3100;100;29.49;75;285
Citroën ë-SpaceTourer Business Talla M Eléctrico 100 kW 50 kWh;Eléctricos puros;M1;9;3015;100;28.16;50;196
Citroën ë-SpaceTourer Business Talla XL Eléctrico 100 kW 75 kWh;Eléctricos puros;M1;9;3100;100;29.49;75;285
Citroën ë-SpaceTourer Business Talla XS Eléctrico 100 kW 50 kWh;Eléctricos puros;M1;9;2925;100;28.16;50;196
Citroën ë-SpaceTourer Feel Talla M Eléctrico 100 kW 50 kWh;Eléctricos puros;M1;8;2950;100;28.16;50;196
Citroën ë-SpaceTourer Feel Talla M Eléctrico 100 kW 75 kWh;Eléctricos puros;M1;8;3100;100;29.49;75;285
Citroën ë-SpaceTourer Shine Talla M Eléctrico 100 kW 75 kWh;Eléctricos puros;M1;8;3100;100;29.49;75;285
Citroën Nuevo C5 Aircross Plug-in Hybrid 225 EAT8 SHINE;Híbridos enchufables;M1;5;2300;81.2;0;13.2;55
Citroën Nuevo ë-C4 Eléctrico 100 KW;Eléctricos puros;M1;5;2000;100;16.6;50;338
Citroën SUV C5 Aircross Hybrid Hybrid 225 ë-EAT8;Híbridos enchufables;M1;5;2300;90;0;13.2;55
Citroën SUV C5 Aircross Plug-In Hybrid 180 ë-EAT8 Ë Series;Híbridos enchufables;M1;5;2310;81.2;176;12.4;55
Citroën SUV C5 Aircross Plug-In Hybrid 180 ë-EAT8 Max;Híbridos enchufables;M1;5;2310;81.2;176;12.4;55
Citroën SUV C5 Aircross Plug-In Hybrid 180 ë-EAT8 Plus;Híbridos enchufables;M1;5;2310;81.2;176;12.4;55
Citroën SUV C5 Aircross Plug-In Hybrid 225 ë-EAT8;Híbridos enchufables;M1;5;2310;81.2;16.6;14.2;66
Citroën SUV C5 Aircross Plug-In Hybrid 225 ë-EAT8 Ë Series;Híbridos enchufables;M1;5;2310;81.2;182;13.2;64
Citroën SUV C5 Aircross Plug-In Hybrid 225 ë-EAT8 Max;Híbridos enchufables;M1;5;2310;81.2;182;13.2;64
Club Car Urban URBAN L7e L 12,2 LWB;Eléctricos puros;L7e;2;1850;8;11.9;12.2;92
Club Car Urban URBAN L7e L 21,4 LWB;Eléctricos puros;L7e;2;1850;8;12.9;21.4;208
Club Car Urban URBAN L7e L 9,2 LWB;Eléctricos puros;L7e;2;1850;8;11.9;9.2;89
Club Car Urban URBAN L7e S 12,2 SWB;Eléctricos puros;L7e;2;1350;8;11.9;12.2;92
Club Car Urban URBAN L7e S 9,2 SWB;Eléctricos puros;L7e;2;1350;8;14.1;9.2;71
Club Car Urban URBAN N1 L LWB;Eléctricos puros;N1;2;1850;8;13.3;10;73
Club Car Urban URBAN N1 S SWB;Eléctricos puros;N1;2;1350;8;13.3;10;73
CUPRA BORN 150kW (204CV) 58kWh;Eléctricos puros;M1;5;2260;150;16.7;58;424
CUPRA BORN 150kW (204CV) 62kWh LAUNCH EDITION;Eléctricos puros;M1;5;2260;150;16.7;58;424
CUPRA BORN 58kWh 170kW (231CV) e-Boost Pack;Eléctricos puros;M1;5;2280;170;17.4;58;420
CUPRA BORN 58kWh 170kW (231CV) e-Boost Pack LAUNCH EDITION;Eléctricos puros;M1;5;2280;170;17.4;58;420
CUPRA BORN 77kWh 170kW (231CV) e-Boost Pack+Battery Pack (4 plazas);Eléctricos puros;M1;4;2300;170;17.5;77;549
CUPRA BORN 77kWh 170kW (231CV) e-Boost Pack+Battery Pack (5 plazas);Eléctricos puros;M1;5;2300;170;17.5;77;549
CUPRA BORN 77kWh 170kW (231CV) e-Boost Pack+Battery Pack LAUNCH EDITION;Eléctricos puros;M1;4;2300;170;17.5;77;495
CUPRA Formentor 1.4 e-HYBRID 150 KW (204 CV) DSG 6 vel;Híbridos enchufables;M1;5;2120;85;14.8;12.8;55
CUPRA Formentor VZ 1.4 e-HYBRID 180 KW (245 CV) DSG 6 vel;Híbridos enchufables;M1;5;2120;85;16.1;12.8;55
CUPRA Leon 1.4 TSI e-HYBRID 150 Kw (204 CV) DSG;Híbridos enchufables;M1;5;2060;85;15.3;12.8;63
CUPRA Leon 1.4 TSI e-HYBRID 180kW (245CV) DSG;Híbridos enchufables;M1;5;2070;85;15.5;12.8;60
CUPRA Leon Sportstourer 1.4 TSI e-HYBRID 150 Kw (204 CV) DSG;Híbridos enchufables;M1;5;2080;85;15.5;12.8;62
CUPRA Leon Sportstourer 1.4 TSI e-HYBRID 180kW (245CV) DSG;Híbridos enchufables;M1;5;2090;85;15.7;12.8;59
Dacia Spring SI1 Electric 45 (33 kW) - Cargo (semi: E0 M1 B4E2C, Y0 M1 B4E2C, RC0 M1 B4E2C);Eléctricos puros;N1;4;1293;33;13.9;26.8;230
Dacia Spring SI1 Electric 45 (33 kW) (semi: E2 M1 B4E2R, E2PM1 B4E2R,  E2 M1 B4E, E2 M1 B4E2S, E2PM1DB4E2R);Eléctricos puros;M1;4;1293;33;15.2;26.8;225
Dacia Spring SI1 Electric 45 (33 kW) (semi: RC2 M1 B4E2S, RC2 M1 B4E2R);Eléctricos puros;M1;4;1300;33;15.2;26.8;225
Dacia Spring SI1 Electric 45 (33 kW) (semi: Y2 M1 B4E2S, Y2 M1 B4E2R, Y2PM1 B4E2R,Z2 M1 B4E2S, Z2 M1 B4E2R);Eléctricos puros;M1;4;1286;33;15.2;26.8;225
Dacia Spring SI1 Electric 65 (48 kW) (semi: Z3 M2 B4ER);Eléctricos puros;M1;4;1300;48;14.3;26.8;220
DAYANG E-VIBALL DY3000DT;Eléctricos puros;L3e;2;243;3;4.1;3.5;108
DAYI MOTOR E-ODIN 2;Eléctricos puros;L3e;2;296;6;3.7;7.2;210
DAYI MOTOR E-ODIN PRO 0;Eléctricos puros;L3e;2;296;10;8.6;120;230
DAYI MOTOR Zeta MAX 0;Eléctricos puros;L3e;2;325;6;7.2;100;170
